# Gene map of the human mitochondrial genome, revised Cambridge Reference
# Sequence (rCRS, NC_012920.1 / J01415.2), 1-based inclusive coordinates.
#
# Applies to any reference whose mito contig is 16,569 bp: hg38 chrM and
# GRCh37/hs37d5 MT both are. UCSC hg19's chrM is NOT rCRS (it is NC_001807,
# 16,571 bp), so plot_mito_circos.R checks contig length before using this
# file and simply omits the ideogram ring if it does not match.
#
# type: D-loop | rRNA | protein | tRNA
# strand: H (heavy) | L (light)
start	end	name	type	strand
16024	16569	D-loop	D-loop	H
1	576	D-loop	D-loop	H
577	647	TRNF	tRNA	H
648	1601	RNR1	rRNA	H
1602	1670	TRNV	tRNA	H
1671	3229	RNR2	rRNA	H
3230	3304	TRNL1	tRNA	H
3307	4262	ND1	protein	H
4263	4331	TRNI	tRNA	H
4329	4400	TRNQ	tRNA	L
4402	4469	TRNM	tRNA	H
4470	5511	ND2	protein	H
5512	5579	TRNW	tRNA	H
5587	5655	TRNA	tRNA	L
5657	5729	TRNN	tRNA	L
5761	5826	TRNC	tRNA	L
5826	5891	TRNY	tRNA	L
5904	7445	COX1	protein	H
7446	7514	TRNS1	tRNA	L
7518	7585	TRND	tRNA	H
7586	8269	COX2	protein	H
8295	8364	TRNK	tRNA	H
8366	8572	ATP8	protein	H
8527	9207	ATP6	protein	H
9207	9990	COX3	protein	H
9991	10058	TRNG	tRNA	H
10059	10404	ND3	protein	H
10405	10469	TRNR	tRNA	H
10470	10766	ND4L	protein	H
10760	12137	ND4	protein	H
12138	12206	TRNH	tRNA	H
12207	12265	TRNS2	tRNA	H
12266	12336	TRNL2	tRNA	H
12337	14148	ND5	protein	H
14149	14673	ND6	protein	L
14674	14742	TRNE	tRNA	L
14747	15887	CYB	protein	H
15888	15953	TRNT	tRNA	H
15956	16023	TRNP	tRNA	L
